name,latitude,longitude,phone
"V6. Kolathur Police station,chennai tamil nadu",13.1101837,80.2137063,044-23452758
"T1. Ambattur Police station,chennai tamil nadu",13.1072865,80.1525393,044-23452797
"T2. Ambattur Estate Police station,chennai tamil nadu",13.0954687,80.1638406,044-23452798
"T3. Korattur Police station,chennai tamil nadu",13.1072152,80.1867452,044-23452799
"T6. Avadi Police station,chennai tamil nadu",13.1172786,80.1027371,044-26554750
"T7. Tank Factory Police station,chennai tamil nadu",13.1581305,80.1035899,044-23452771
"T10. Thirumullaivoyal Police station,chennai tamil nadu",13.1244534,80.1168068,044 - 23452772
"T11. Thirunindravur Police station,chennai tamil nadu",13.1313291,80.0363218,044 - 26390293
"T8. Muthapudupet Police station,chennai tamil nadu",13.146665,80.0416952,044 -26841795
"T9. Pattabiram Police station,chennai tamil nadu",13.1221192,80.0626862,044 - 26851632
"T12. Poonamallee Police station,chennai tamil nadu",13.0502659,80.0909275,044-26272082
"T16. Nasaratpet Police station,chennai tamil nadu",13.0826802,80.2707184,044-26271414
"T5. Thiruverkadu Police station,chennai tamil nadu",13.0739552,80.1253609,044-26800091
"T15. SRMC Police station,chennai tamil nadu",13.0414393,80.1331805,044-23452767
"T14. Mangadu Police station,chennai tamil nadu",13.0353183,80.1145844,044-26791102
"T13. Kunrathur Police station,chennai tamil nadu",12.9973982,80.0918893,044-24780039
"K6. TP Chathiram Police station,chennai tamil nadu",13.082818,80.2307301,044-23452729/730
"G3. Kilpauk Police station,chennai tamil nadu",13.0778618,80.2474004,044-23452699/700
"G7. Chetpet Police station,chennai tamil nadu",13.0707962,80.2420135,044-23452686
"G6. KMC Hospital Police station,chennai tamil nadu",13.0769617,80.2425186,044-23452709
"G1. Vepery Police station,chennai tamil nadu",13.0861237,80.2625574,044-23452690/691
"G2. Periamet Police station,chennai tamil nadu",13.0836968,80.270713,044-23452696/6 97
"K2. Ayanavaram Police station,chennai tamil nadu",13.0989891,80.2322394,044-23452714/715
"K7. ICF Police station,chennai tamil nadu",13.0987535,80.2157065,044-23452731/732
"G4. Mental Hospital Police station,chennai tamil nadu",13.0828684,80.2417739, 
"G5. Secretariat Colony Police station,chennai tamil nadu",13.0913595,80.2452728,044-23452704/706
"D1.Triplicane Police station,chennai tamil nadu",13.0671575,80.2736037,044-23452655/656
"D8. K.G. Hospital Police station,chennai tamil nadu",13.0826802,80.2707184,044-23452672
"D2. Annasalai Police station,chennai tamil nadu",13.0429251,80.2475891,044-23452661/662
"D4. Zam Bazaar Police station,chennai tamil nadu",13.0590676,80.270551,044-23452665/666
"D6. Anna Square Police station,chennai tamil nadu",13.0653673,80.2843427,044-23452667/668
"F1. Chintadaripet Police station,chennai tamil nadu",13.0748282,80.2723757,044-23452673/674
"F2. Egmore Police station,chennai tamil nadu",13.074981,80.2567665,044-23452677/678
"F7. Maternity Hospital Police station,chennai tamil nadu",12.971934,80.141212,044-23452689
"F3. Nungambakkam Police station,chennai tamil nadu",13.059662,80.2428493,044-23452680/681
"F4. Thousand Lights Police station,chennai tamil nadu",13.0598567,80.2547689,044-23452684/683
"R5. Choolaimedu Police station,chennai tamil nadu",13.0496952,80.1992196,044-23452742/743
"E1. Mylapore Police station,chennai tamil nadu",13.0357746,80.2699354,044-23452562
"E5. Foreshore Estate Police station,chennai tamil nadu",13.0247308,80.2774294,044-23452575
"D5. Marina Police station,chennai tamil nadu",13.0391818,80.2792719,044-23452558/559
"E4. Abiramapuram Police station,chennai tamil nadu",13.0231823,80.2525266,044-23452571/572
"J2. Kotturpuram Police station,chennai tamil nadu",13.0173383,80.2412147,044-23452595/596
"E2. Royapettah Police station,chennai tamil nadu",13.051897,80.263953,044-23452567/565
"D3. Ice House Police station,chennai tamil nadu",13.0521549,80.2739286,044-23452556/555
"E-6 Govt. Royapettah Hosp Police station,chennai tamil nadu",13.0546987,80.265062, 
"S1. St.Thomas Mount Police station,chennai tamil nadu",12.9991583,80.2000434,044-23452763
"S4. Nandampakkam Police station,chennai tamil nadu",13.0160993,80.1894138,044-23452765
"S9. Palavanthangal Police station,chennai tamil nadu",12.9843513,80.1857399,044-22241950
"S2. Airport Police station,chennai tamil nadu",12.9803468,80.1608827,044-22564284
"S3. Meenambakkam Police station,chennai tamil nadu",12.9863982,80.1748837,044-22561261
"S5. Pallavaram Police station,chennai tamil nadu",12.9717356,80.1484656,044-22640880
"S6. Sankar Nagar Police station,chennai tamil nadu",12.9682247,80.1249287,044-22484094
"S11. Tambaram Police station,chennai tamil nadu",12.9249308,80.1000026,044-23452769
"S13. Chrompet Police station,chennai tamil nadu",12.9531884,80.1412521,044-23452770
"S15. Selaiyur Police station,chennai tamil nadu",12.9227672,80.1351312,044 - 22396003
"S12. Chitlapakkam Police station,chennai tamil nadu",12.9396935,80.1380949,044 - 22232005
"S14. Peerkankaranai Police station,chennai tamil nadu",12.9055078,80.0976706,044 - 22398018
"S7. Madipakkam Police station,chennai tamil nadu",12.9560048,80.1853197,044 - 23452774
"S8. Adambakkam Police station,chennai tamil nadu",12.9895187,80.2088253,044 - 23452777
"S10. Pallikaranai Police station,chennai tamil nadu",12.9170704,80.1949418,044 - 23452775
"J2. Adyar Police station,chennai tamil nadu",12.9978136,80.2556662,044-23452583/584
"J5. Sastri Nagar Police station,chennai tamil nadu",13.0006098,80.2659112,044-23452598/599
"J1. Saidapet Police station,chennai tamil nadu",13.0223505,80.2261188,044-23452577/578
"R6. Kumaran Nagar Police station,chennai tamil nadu",13.0282473,80.2165603,044-23452629/628
"J3. Guindy Police station,chennai tamil nadu",13.0093762,80.2106595,044-23452590/591
"J7. Velachery Police station,chennai tamil nadu",12.9809605,80.2208596,044-23452605/606
"J6. Thiruvanmiyur Police station,chennai tamil nadu",12.9844943,80.2609848,044-23452602/603
"J13. Taramani Police station,chennai tamil nadu",12.994747,80.2429914,044-22541636
"J9. Thoraipakkam Police station,chennai tamil nadu",12.9439555,80.236508,044-23452776
"J10. Chemmanchery Police station,chennai tamil nadu",12.9005906,80.2281071,044-24500707
"J11. Kannagi Nagar Police station,chennai tamil nadu",12.9318925,80.238449,9791090918
"J8. Neelangari Police station,chennai tamil nadu",12.9476287,80.2539976,044-24491196
"J12. Kannathur Police station,chennai tamil nadu",12.8662835,80.2447433,044-27472182
"R1. Mambalam Police station,chennai tamil nadu",13.0350103,80.229475,044-23452608/609
"R4. Soundarapandiyanar Police station,chennai tamil nadu",13.0826802,80.2707184, 044-23452624/625
"angadi (Pondi bazaar) Police station,chennai tamil nadu",13.0398891,80.2368745, 
"R8. Vadapalani Police station,chennai tamil nadu",13.0495655,80.2116956,044-23452635/634
"R5. Virugambakkam Police station,chennai tamil nadu",13.0496952,80.1992196,044-23452637/638
"R9. Valasaravakkam Police station,chennai tamil nadu",13.0433281,80.1761225,044-23452649 
"R11. Royala nagar Police station,chennai tamil nadu",13.0318896,80.1786947,044-23452649(R9.No)
"R3. Ashok Nagar Police station,chennai tamil nadu",13.0439646,80.2173305,044-23452617/618
"R7. K.K. Nagar Police station,chennai tamil nadu",13.0420011,80.2063773,044-23452630/631
"R10. MGR Nagar Police station,chennai tamil nadu",13.0311075,80.2017321,044-23452560/561
"E3. Teynampet Police station,chennai tamil nadu",13.0395894,80.2451998,044-23452569/568
"R2. Kodambakkam Police station,chennai tamil nadu",13.0512074,80.2191968,
